Kaptive version	Database name	Database version	Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492075.1_ASM649207v1_genomic	KL149	unknown	Typeable	-	99.90%	92.68%	-1966	21 / 22 (95.45%)	KL149_01_wzc,99.04%,100.00%;KL149_19_gpi,100.00%,100.00%;KL149_22_pgm,98.90%,99.56%;KL149_04_gna1,100.00%,100.00%;KL149_18_ugd,100.00%,100.00%;KL149_06_wzx_KL9,100.00%,100.00%;KL149_08_gtr21,100.00%,100.00%;KL149_09_gtr22,100.00%,100.00%;KL149_03_wza,100.00%,100.00%;KL149_12_fnlC,100.00%,100.00%;KL149_11_fnlB,100.00%,100.00%;KL149_10_fnlA,100.00%,100.00%;KL149_13_gtr20,100.00%,100.00%;KL149_05_gne2,100.00%,100.00%;KL149_20_gne1,100.00%,98.14%;KL149_15_itrB2,100.00%,100.00%;KL149_07_wzy_KL9,100.00%,100.00%;KL149_14_qnr3,100.00%,100.00%;KL149_17_galU,100.00%,100.00%;KL149_16_itrA3,100.00%,100.00%;KL149_02_wzb,100.00%,100.00%	?	0		0 / 22 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492085.1_ASM649208v1_genomic	KL21	K21	Untypeable	+-*	99.95%	100.00%	-1	21 / 23 (91.30%)	KL21_01_wzc,100.00%,100.00%;KL21_15_gdr,100.00%,100.00%;KL21_18_gpi,100.00%,100.00%;KL21_05_wzx_KL20,100.00%,100.00%;KL21_20_pet1,100.00%,100.00%;KL21_23_pgm,100.00%,100.00%;KL21_10_ugd2,100.00%,100.00%;KL21_04_gna2,100.00%,100.00%;KL21_17_ugd,100.00%,100.00%;KL21_11_gtr44,100.00%,100.00%;KL21_08_wzy_KL20,100.00%,100.00%;KL21_14_qhbB,100.00%,100.00%;KL21_19_gne1,100.00%,100.00%;KL21_07_gtr42,100.00%,100.00%;KL21_06_ptr2,100.00%,100.00%;KL21_09_gtr45,100.00%,100.00%;KL21_16_galU,100.00%,100.00%;KL21_13_qhbA,100.00%,100.00%;KL21_12_itrA1,100.00%,100.00%;KL21_02_wzb,100.00%,100.00%;KL21_21_orf1_KL20,100.00%,100.00%	?	2	KL124_17_atr20,47.20%,97.68%,below_id_threshold;KL34_03_wza,98.93%,100.00%	0 / 23 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492125.1_ASM649212v1_genomic	KL19	K19-Wzy/Atr25-GI1	Typeable		99.93%	100.00%	0	17 / 17 (100.00%)	KL19_01_wzc,99.73%,100.00%;KL19_12_gdr,100.00%,100.00%;KL19_15_gpi,99.82%,100.00%;KL19_17_pgm,100.00%,100.00%;KL19_04_gna1,100.00%,100.00%;KL19_14_ugd,100.00%,100.00%;KL19_06_wzx_KL19,100.00%,100.00%;KL19_11_qhbB,100.00%,100.00%;KL19_08_gtr2,100.00%,100.00%;KL19_03_wza,100.00%,100.00%;KL19_07_gtr41,99.73%,100.00%;KL19_05_gne2,100.00%,100.00%;KL19_16_gne1,99.71%,100.00%;KL19_13_galU,99.62%,100.00%;KL19_10_qhbC,100.00%,100.00%;KL19_09_itrA1,100.00%,100.00%;KL19_02_wzb,100.00%,100.00%	?	0		0 / 17 (0.00%)		0			wzy-GI1,100.00%,100.00%;atr25-GI,100.00%,100.00%
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492155.1_ASM649215v1_genomic	KL49	K49	Typeable	+-	99.89%	100.00%	0	27 / 28 (96.43%)	KL49_01_wzc,100.00%,100.00%;KL49_26_gpi,100.00%,100.00%;KL49_28_pgm,100.00%,100.00%;KL49_14_wzy_KL49,100.00%,100.00%;KL49_04_gna2,100.00%,100.00%;KL49_16_wzx_KL49,100.00%,100.00%;KL49_25_ugd,100.00%,100.00%;KL49_05_lgaA,100.00%,100.00%;KL49_07_lgaC,100.00%,100.00%;KL49_06_lgaB,100.00%,100.00%;KL49_19_fnlC,100.00%,100.00%;KL49_18_fnlB,100.00%,100.00%;KL49_03_wza,100.00%,100.00%;KL49_08_lgaD,100.00%,100.00%;KL49_15_gtr100,100.00%,100.00%;KL49_17_fnlA,100.00%,100.00%;KL49_27_gne1,100.00%,100.00%;KL49_22_itrB2,99.70%,100.00%;KL49_11_elaA,100.00%,100.00%;KL49_20_gtr20,100.00%,100.00%;KL49_24_galU,100.00%,100.00%;KL49_10_lgaF,100.00%,100.00%;KL49_13_elaC,100.00%,100.00%;KL49_12_elaB,99.56%,100.00%;KL49_09_lgaE,100.00%,100.00%;KL49_23_itrA3,100.00%,100.00%;KL49_02_wzb,100.00%,100.00%	?	1	KL54_20_qnr3,97.54%,100.00%	0 / 28 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492165.1_ASM649216v1_genomic	KL6	K6	Typeable		100.00%	100.00%	1	21 / 21 (100.00%)	KL6_01_wzc,100.00%,100.00%;KL6_19_gpi,100.00%,100.00%;KL6_21_pgm,100.00%,100.00%;KL6_13_wzy_KL6,100.00%,100.00%;KL6_04_gna2,100.00%,100.00%;KL6_18_ugd,100.00%,100.00%;KL6_11_wzx_KL5,100.00%,100.00%;KL6_06_psaB,100.00%,100.00%;KL6_03_wza,100.00%,100.00%;KL6_08_psaD,100.00%,100.00%;KL6_10_psaF,100.00%,100.00%;KL6_20_gne1,100.00%,100.00%;KL6_05_psaA,100.00%,100.00%;KL6_17_galU,100.00%,100.00%;KL6_15_gtr5,100.00%,100.00%;KL6_14_gtr17,100.00%,100.00%;KL6_07_psaC,100.00%,100.00%;KL6_16_itrA2,100.00%,100.00%;KL6_09_psaE,100.00%,100.00%;KL6_02_wzb,100.00%,100.00%;KL6_12_gtr16,100.00%,100.00%	?	0		0 / 21 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492175.1_ASM649217v1_genomic	KL200	unknown	Typeable	+-	98.23%	91.53%	-1965	18 / 20 (90.00%)	KL200_01_wzc,99.45%,100.00%;KL200_17_gpi,99.28%,100.00%;KL200_20_pgm,98.90%,99.56%;KL200_16_ugd,99.76%,100.00%;KL200_05_wzx_KL32,98.10%,100.00%;KL200_04_gna2,99.29%,100.00%;KL200_11_ugd3,98.98%,100.00%;KL200_07_gtr68,98.38%,100.00%;KL200_08_wzy_KL32,97.81%,100.00%;KL200_03_wza,98.12%,100.00%;KL200_18_gne1,99.40%,98.14%;KL200_06_gtr67,97.70%,100.00%;KL200_13_orf_KL32,97.92%,100.00%;KL200_15_galU,98.63%,100.00%;KL200_10_gtr70,99.22%,100.00%;KL200_09_gtr69,98.05%,100.00%;KL200_14_itrA2,99.10%,100.00%;KL200_02_wzb,97.90%,100.00%	?	1	KL164_12_atr9,100.00%,100.00%	0 / 20 (0.00%)		5	KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%;KL85_08_rmlB,90.09%,31.18%,truncated;KL144_08_rmlB,91.29%,68.07%,truncated	KL85_08_rmlB,90.09%,31.18%,truncated;KL144_08_rmlB,91.29%,68.07%,truncated	
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492195.1_ASM649219v1_genomic	KL107	unknown	Untypeable	?+-!	99.54%	96.48%	n/a	16 / 20 (78.95%)	KL107_01_wzc,100.00%,100.00%;KL107_06_wzx_KL1,99.50%,100.00%;KL107_03_wza,100.00%,100.00%;KL107_05_gne2,98.53%,100.00%;KL107_07_gtr1,100.00%,87.32%,partial;KL107_02_wzb,100.00%,100.00%;KL107_14_gdr,100.00%,100.00%;KL107_16_ugd,100.00%,100.00%;KL107_13_qhbB,100.00%,100.00%;KL107_08_wzy_KL1,99.74%,100.00%;KL107_10_gtr2,99.74%,100.00%;KL107_09_atr1,94.74%,100.00%;KL107_15_galU,100.00%,100.00%;KL107_12_qhbA,100.00%,100.00%;KL107_11_itrA1,100.00%,100.00%;KL107_07_gtr1,100.00%,10.61%,partial	?	3	KL1_04_gna1,100.00%,100.00%;KL17_17_gpi,100.00%,100.00%;KL1_18_pgm,100.00%,100.00%	0 / 20 (0.00%)		0		KL107_07_gtr1,100.00%,87.32%,partial;KL107_07_gtr1,100.00%,10.61%,partial	
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492215.1_ASM649221v1_genomic	KL41	unknown	Typeable	+-	100.00%	99.97%	-8	19 / 20 (95.00%)	KL41_01_wzc,100.00%,100.00%;KL41_17_gpi,100.00%,100.00%;KL41_05_neuA,100.00%,100.00%;KL41_20_pgm,100.00%,100.00%;KL41_04_gna2,100.00%,100.00%;KL41_16_ugd,100.00%,100.00%;KL41_09_wzx_KL41,100.00%,100.00%;KL41_07_ptr3,100.00%,100.00%;KL41_03_wza,100.00%,100.00%;KL41_06_neuB,100.00%,100.00%;KL41_11_wzy_KL41,100.00%,100.00%;KL41_12_gtr8,100.00%,100.00%;KL41_18_gne1,100.00%,100.00%;KL41_10_gtr87,100.00%,100.00%;KL41_15_galU,100.00%,100.00%;KL41_13_gtr9,100.00%,100.00%;KL41_08_atr11,100.00%,100.00%;KL41_14_itrA2,100.00%,100.00%;KL41_02_wzb,100.00%,100.00%	?	1	KL214_21_atr12,100.00%,100.00%	0 / 20 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492245.1_ASM649224v1_genomic	KL168	unknown	Typeable	-	99.95%	95.73%	-1111	21 / 23 (91.30%)	KL168_01_wzc,99.86%,100.00%;KL168_19_gpi,100.00%,100.00%;KL168_23_pgm,99.78%,99.49%;KL168_04_gna1,100.00%,100.00%;KL168_18_ugd,100.00%,100.00%;KL168_06_wzx_KL9,100.00%,100.00%;KL168_08_gtr21,100.00%,100.00%;KL168_09_gtr22,100.00%,100.00%;KL168_03_wza,100.00%,100.00%;KL168_12_fnlC,100.00%,100.00%;KL168_11_fnlB,100.00%,100.00%;KL168_10_fnlA,100.00%,100.00%;KL168_13_gtr20,100.00%,100.00%;KL168_05_gne2,100.00%,100.00%;KL168_15_itrB2,100.00%,100.00%;KL168_20_gne1,99.40%,98.73%;KL168_14_qnr3,100.00%,100.00%;KL168_07_wzy_KL9,100.00%,100.00%;KL168_17_galU,100.00%,100.00%;KL168_16_itrA3,100.00%,100.00%;KL168_02_wzb,100.00%,100.00%	?	0		0 / 23 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492265.1_ASM649226v1_genomic	KL14	K14	Typeable		98.87%	100.00%	0	17 / 17 (100.00%)	KL14_01_wzc,100.00%,100.00%;KL14_16_pgt1,100.00%,100.00%;KL14_14_gpi,100.00%,100.00%;KL14_07_wzy_KL14,100.00%,100.00%;KL14_17_pgm,100.00%,100.00%;KL14_05_wzx_KL14,100.00%,100.00%;KL14_04_gna2,100.00%,100.00%;KL14_13_ugd,100.00%,100.00%;KL14_03_wza,100.00%,100.00%;KL14_09_gtr25,100.00%,100.00%;KL14_15_gne1,100.00%,100.00%;KL14_06_gtr32,100.00%,100.00%;KL14_08_gtr33,99.68%,100.00%;KL14_12_galU,100.00%,100.00%;KL14_10_gtr5,100.00%,100.00%;KL14_11_itrA2,100.00%,100.00%;KL14_02_wzb,100.00%,100.00%	?	0		0 / 17 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492295.1_ASM649229v1_genomic	KL151	unknown	Untypeable	+-*	100.00%	100.00%	0	18 / 20 (90.00%)	KL151_01_wzc,100.00%,100.00%;KL151_15_gpi,100.00%,100.00%;KL151_05_wzx_KL20,100.00%,100.00%;KL151_20_pgm,100.00%,100.00%;KL151_04_gna2,100.00%,100.00%;KL151_14_ugd,100.00%,100.00%;KL151_08_wzy_KL151,100.00%,100.00%;KL151_11_ugd5,100.00%,100.00%;KL151_03_wza,100.00%,100.00%;KL151_09_gtr208,100.00%,100.00%;KL151_16_gne1,100.00%,100.00%;KL151_07_gtr207,100.00%,100.00%;KL151_06_ptr2,100.00%,100.00%;KL151_13_galU,100.00%,100.00%;KL151_17_orf_KL82,100.00%,100.00%;KL151_10_gtr179,100.00%,100.00%;KL151_12_itrA2,100.00%,100.00%;KL151_02_wzb,100.00%,100.00%	?	1	KL82_17_atr32,63.05%,99.85%,below_id_threshold	0 / 20 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492305.1_ASM649230v1_genomic	KL153	unknown	Typeable		100.00%	100.00%	0	22 / 22 (100.00%)	KL153_01_wzc,100.00%,100.00%;KL153_20_gpi,100.00%,100.00%;KL153_22_pgm,100.00%,100.00%;KL153_04_gna2,100.00%,100.00%;KL153_19_ugd,100.00%,100.00%;KL153_12_wzx_KL5,100.00%,100.00%;KL153_05_lgaA,100.00%,100.00%;KL153_06_lgaB,100.00%,100.00%;KL153_07_lgaC,100.00%,100.00%;KL153_03_wza,100.00%,100.00%;KL153_14_wzy_KL31,100.00%,100.00%;KL153_08_lgaH,100.00%,100.00%;KL153_21_gne1,100.00%,100.00%;KL153_15_gtr66,100.00%,100.00%;KL153_13_gtr65,100.00%,100.00%;KL153_18_galU,100.00%,100.00%;KL153_10_lgaF,100.00%,100.00%;KL153_16_gtr5,100.00%,100.00%;KL153_11_lgaG,100.00%,100.00%;KL153_09_lgaI,100.00%,100.00%;KL153_17_itrA2,100.00%,100.00%;KL153_02_wzb,100.00%,100.00%	?	0		0 / 22 (0.00%)		0			
3.2.2.dev25+g7f2e9ef87.d20260626	Acinetobacter_baumannii_K	0.0.1	GCF_006492315.1_ASM649231v1_genomic	KL14	K14	Untypeable	+-	98.67%	100.00%	0	15 / 17 (88.24%)	KL14_01_wzc,100.00%,100.00%;KL14_16_pgt1,99.84%,100.00%;KL14_14_gpi,99.46%,100.00%;KL14_07_wzy_KL14,100.00%,100.00%;KL14_17_pgm,99.78%,100.00%;KL14_05_wzx_KL14,100.00%,100.00%;KL14_04_gna2,100.00%,100.00%;KL14_03_wza,100.00%,100.00%;KL14_15_gne1,98.82%,100.00%;KL14_06_gtr32,100.00%,100.00%;KL14_08_gtr33,98.41%,100.00%;KL14_12_galU,100.00%,100.00%;KL14_10_gtr5,99.64%,100.00%;KL14_11_itrA2,100.00%,100.00%;KL14_02_wzb,100.00%,100.00%	?	2	KL205_18_ugd,100.00%,100.00%;KL95_14_gtr25,99.71%,100.00%	0 / 17 (0.00%)		4	KL144_08_rmlB,90.88%,98.78%;KL114_11_rmlA,92.86%,98.99%;KL38_10_rmlD,82.55%,100.00%,below_id_threshold;KL85_11_rmlC,93.92%,98.73%		
